avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct
2.41,4.3,3.5,1.38,Winterfell,3/17/2014,iPhone,1/17/2014,33.3,4,TRUE,33.3
4.53,5,3,1,Winterfell,3/16/2014,Android,1/8/2014,0,1,FALSE,50
6.07,5,5,1,Winterfell,1/2/2014,iPhone,1/2/2014,0,1,FALSE,100
1.9,5,5,1,Astapor,3/22/2014,Android,1/11/2014,0,0,FALSE,0
1.47,4.9,4.9,1.08,Astapor,6/21/2014,iPhone,1/19/2014,14.3,8,TRUE,57.1
2.43,5,5,1.5,King's Landing,2/9/2014,iPhone,1/22/2014,50,2,FALSE,0
3.87,4.9,4.8,1,Astapor,1/16/2014,Android,1/12/2014,0,10,TRUE,100
3.14,4.5,4.9,1.07,King's Landing,6/21/2014,iPhone,1/19/2014,15.4,4,FALSE,38.5
7.08,5,,1.13,Astapor,4/21/2014,iPhone,1/1/2014,50,1,FALSE,50
0.83,5,,1,Winterfell,2/1/2014,iPhone,1/31/2014,0,1,TRUE,100
4.57,5,4.3,1,Winterfell,5/26/2014,Android,1/15/2014,0,2,FALSE,100
12.24,5,5,1,Astapor,2/22/2014,iPhone,1/25/2014,0,2,FALSE,50
7.11,5,,1,Astapor,5/2/2014,Android,1/19/2014,0,0,FALSE,100
15.92,5,5,1,Astapor,1/29/2014,Android,1/29/2014,0,1,FALSE,100
9.7,5,,1,Winterfell,2/3/2014,Android,1/31/2014,0,1,FALSE,100
6.02,4.8,4.3,1.56,Astapor,2/23/2014,iPhone,1/8/2014,25,0,TRUE,0
5.75,5,,1,Winterfell,1/29/2014,iPhone,1/28/2014,0,1,TRUE,100
7.11,4.8,5,1,Astapor,5/20/2014,iPhone,1/10/2014,0,0,TRUE,60
6.67,4.6,4.6,1,Astapor,5/12/2014,Android,1/23/2014,0,3,FALSE,33.3
12.59,5,4.5,1,Winterfell,6/5/2014,iPhone,1/15/2014,0,2,TRUE,100
15.53,5,,1,Winterfell,1/23/2014,Android,1/23/2014,0,1,FALSE,100
1.48,5,5,1.5,King's Landing,6/29/2014,iPhone,1/26/2014,50,0,TRUE,0
5.99,5,,1,Winterfell,1/19/2014,iPhone,1/19/2014,0,1,FALSE,0
7.66,4.8,5,1,Winterfell,5/8/2014,iPhone,1/21/2014,0,0,TRUE,100
2.92,5,4.9,1,Astapor,3/15/2014,iPhone,1/28/2014,0,0,FALSE,42.9
14.62,5,4,1,Astapor,5/30/2014,iPhone,1/12/2014,0,0,FALSE,100
3.51,4.6,5,1,Winterfell,5/30/2014,Android,1/31/2014,0,0,FALSE,50
8.94,4,4,1,Winterfell,4/27/2014,iPhone,1/3/2014,0,1,FALSE,0
5.77,3,5,1,Winterfell,3/17/2014,iPhone,1/17/2014,0,0,FALSE,100
2.77,4.5,4.4,1.2,Winterfell,6/27/2014,iPhone,1/3/2014,28.6,3,TRUE,38.1
3.66,4.8,5,1,Astapor,5/16/2014,Android,1/19/2014,0,3,FALSE,40
5.62,4.8,4.8,1.17,Astapor,6/11/2014,iPhone,1/31/2014,16.7,1,TRUE,100
14.64,5,,1,Winterfell,3/6/2014,iPhone,1/24/2014,0,0,TRUE,100
4.63,5,3.5,1,Winterfell,6/13/2014,iPhone,1/26/2014,0,2,FALSE,75
4.97,5,5,1.17,Winterfell,6/28/2014,iPhone,1/25/2014,33.3,0,FALSE,66.7
3.54,4.7,2.8,1.11,King's Landing,6/26/2014,iPhone,1/31/2014,17.3,4,FALSE,73.1
3.8,4.9,4.8,1,Astapor,4/25/2014,Android,1/19/2014,0,1,FALSE,66.7
2.27,5,,1,Winterfell,3/16/2014,Android,1/19/2014,0,0,FALSE,0
2.59,5,4,1,Winterfell,6/7/2014,iPhone,1/6/2014,0,0,FALSE,60
14.05,3,5,1,Winterfell,3/30/2014,iPhone,1/4/2014,0,0,TRUE,50
1.75,5,5,1,King's Landing,5/26/2014,iPhone,1/31/2014,0,0,FALSE,0
3.92,4.3,4.8,1.25,Winterfell,6/22/2014,,1/2/2014,16.7,2,FALSE,50
5.89,5,4.3,1.06,Winterfell,4/4/2014,iPhone,1/10/2014,25,2,TRUE,75
0.99,5,5,1,Winterfell,1/9/2014,Android,1/7/2014,0,3,FALSE,100
4.11,4.8,3.7,1.04,Astapor,6/28/2014,iPhone,1/16/2014,5.6,3,FALSE,44.4
16.62,5,5,1,Winterfell,6/3/2014,Android,1/21/2014,0,1,TRUE,100
3.22,4.8,4.8,1,Astapor,6/26/2014,iPhone,1/31/2014,0,6,FALSE,64.7
2.63,5,5,1.06,King's Landing,3/22/2014,iPhone,1/31/2014,25,3,FALSE,25
2.52,5,,1,King's Landing,6/15/2014,iPhone,1/14/2014,0,0,FALSE,0
3.61,5,5,1,Winterfell,4/6/2014,iPhone,1/17/2014,0,0,TRUE,33.3
9.82,4.6,4.7,1,Winterfell,6/1/2014,Android,1/18/2014,0,7,TRUE,25
13.67,5,5,1.25,Winterfell,2/16/2014,iPhone,1/8/2014,100,0,FALSE,0
3.46,4.5,3.1,1.11,Winterfell,6/30/2014,iPhone,1/27/2014,6.2,42,TRUE,78.8
5.21,4.4,5,1,Winterfell,3/26/2014,Android,1/23/2014,0,1,FALSE,60
16.87,5,,1,Winterfell,1/31/2014,Android,1/29/2014,0,1,FALSE,100
1.28,4.5,4.7,1,Astapor,6/28/2014,iPhone,1/2/2014,0,2,FALSE,75
6.54,5,4.4,1.1,Winterfell,4/19/2014,Android,1/21/2014,20,2,FALSE,40
1.9,4.6,4.9,1.04,King's Landing,6/21/2014,Android,1/6/2014,8.3,6,TRUE,41.7
37.69,5,,1,Winterfell,5/14/2014,Android,1/31/2014,0,2,TRUE,100
5.06,5,,2,Astapor,1/1/2014,iPhone,1/1/2014,100,1,TRUE,100
6.34,4.3,4.3,1.13,Winterfell,6/22/2014,iPhone,1/7/2014,25,1,TRUE,50
2.15,5,5,1,Winterfell,4/9/2014,,1/7/2014,0,2,TRUE,75
3.15,4.8,3.7,1.04,King's Landing,5/18/2014,Android,1/25/2014,14.3,2,FALSE,42.9
3.07,5,,1,Astapor,1/19/2014,iPhone,1/18/2014,0,1,TRUE,0
5.89,5,5,1.11,King's Landing,6/21/2014,iPhone,1/10/2014,8.7,2,TRUE,39.1
1.45,3.3,5,1,Astapor,3/9/2014,iPhone,1/17/2014,0,0,TRUE,33.3
2.07,4.8,5,1,Winterfell,5/9/2014,iPhone,1/26/2014,0,1,FALSE,20
3.84,5,5,1,Astapor,2/21/2014,iPhone,1/24/2014,0,3,TRUE,66.7
2.63,4.5,4,1.05,Winterfell,6/19/2014,iPhone,1/18/2014,5,5,FALSE,35
21.07,5,5,1,Winterfell,5/11/2014,Android,1/29/2014,0,4,FALSE,83.3
2.31,5,,1,Winterfell,5/16/2014,iPhone,1/23/2014,0,1,FALSE,100
3.96,5,,1,Astapor,1/31/2014,Android,1/30/2014,0,1,FALSE,100
2.26,5,,1,Winterfell,1/15/2014,Android,1/12/2014,0,1,FALSE,100
1.16,4.7,5,1,Astapor,6/22/2014,iPhone,1/10/2014,0,0,FALSE,33.3
3.61,5,3,1,Astapor,4/7/2014,Android,1/14/2014,0,0,FALSE,100
6.37,5,4.8,1.07,Astapor,6/28/2014,iPhone,1/8/2014,14.3,2,TRUE,42.9
2.84,5,4.5,1.21,Astapor,3/30/2014,iPhone,1/17/2014,16.7,2,FALSE,33.3
5.05,5,4.8,1.07,Winterfell,6/26/2014,Android,1/24/2014,11.8,4,TRUE,100
4.67,4,5,1,Winterfell,3/4/2014,iPhone,1/22/2014,0,0,FALSE,100
18.83,5,4,1,King's Landing,4/28/2014,iPhone,1/20/2014,0,0,TRUE,33.3
3.69,5,,1,Winterfell,6/21/2014,Android,1/4/2014,0,0,TRUE,33.3
5.47,4.8,3.9,1.28,Astapor,6/30/2014,iPhone,1/24/2014,22.2,6,TRUE,66.7
4.11,5,,1,Winterfell,2/19/2014,iPhone,1/18/2014,0,0,TRUE,100
3.74,4.3,5,1,Astapor,3/30/2014,iPhone,1/9/2014,0,1,FALSE,33.3
3.14,4.8,4.8,1.01,Astapor,7/1/2014,iPhone,1/5/2014,4.2,0,TRUE,100
2.65,4.7,4.6,1.07,King's Landing,6/9/2014,iPhone,1/17/2014,5.9,5,FALSE,64.7
0.44,5,5,1,Winterfell,6/25/2014,iPhone,1/31/2014,0,0,TRUE,100
9.78,5,5,1,Astapor,5/19/2014,iPhone,1/16/2014,0,0,FALSE,66.7
1.93,5,,1,King's Landing,1/24/2014,Android,1/24/2014,0,1,FALSE,100
1.59,4.5,5,1,Astapor,3/24/2014,iPhone,1/7/2014,0,4,FALSE,100
9.54,5,5,1.38,Astapor,1/13/2014,iPhone,1/9/2014,50,2,FALSE,100
0,4,5,1,Astapor,3/2/2014,iPhone,1/5/2014,0,0,FALSE,0
8.97,3,5,1,Astapor,4/21/2014,iPhone,1/18/2014,0,0,FALSE,100
2.83,4.7,5,1,King's Landing,6/30/2014,iPhone,1/24/2014,0,0,TRUE,66.7
2.36,4.7,4.8,1,Winterfell,5/27/2014,iPhone,1/15/2014,0,4,FALSE,100
14.11,5,,1,Winterfell,3/19/2014,Android,1/20/2014,0,0,TRUE,100
1.3,5,,1,King's Landing,3/9/2014,iPhone,1/10/2014,0,0,FALSE,0
12.13,5,5,1,Winterfell,1/21/2014,Android,1/19/2014,0,2,FALSE,100
13.53,5,,1,Winterfell,5/4/2014,iPhone,1/28/2014,0,0,FALSE,0
4.32,4.7,4,1.17,King's Landing,6/4/2014,iPhone,1/4/2014,16.7,3,FALSE,66.7
3.15,5,4.8,1,Astapor,5/28/2014,Android,1/23/2014,0,0,FALSE,100
14.62,5,,1,Astapor,5/4/2014,Android,1/10/2014,0,0,FALSE,50
1.19,5,5,1,Winterfell,1/25/2014,Android,1/25/2014,0,1,TRUE,0
4.07,4.7,5,1.06,King's Landing,6/12/2014,iPhone,1/16/2014,13.3,13,TRUE,71.7
5,4.8,5,1,Astapor,6/28/2014,Android,1/31/2014,0,6,TRUE,63.6
4.53,4.8,4.5,1,Winterfell,4/22/2014,iPhone,1/8/2014,0,2,FALSE,100
1.25,5,2,1,Winterfell,4/4/2014,Android,1/4/2014,0,1,FALSE,100
4.85,4.5,4.9,1.08,Winterfell,6/28/2014,iPhone,1/5/2014,9.5,9,TRUE,71.6
11.64,4.2,4.9,1.06,Winterfell,6/22/2014,iPhone,1/5/2014,11.8,1,TRUE,41.2
5.78,5,,1,Winterfell,1/12/2014,Android,1/11/2014,0,1,FALSE,0
2.22,5,5,1,Astapor,1/7/2014,Android,1/6/2014,0,1,TRUE,100
5.51,,5,1,Winterfell,1/25/2014,iPhone,1/24/2014,0,1,TRUE,100
3.81,5,5,1,King's Landing,3/27/2014,iPhone,1/19/2014,0,0,FALSE,100
2.69,5,5,1,Astapor,2/1/2014,Android,1/11/2014,0,3,FALSE,66.7
2.38,4.8,4.3,1.07,Astapor,6/21/2014,iPhone,1/24/2014,8.5,13,FALSE,57.4
4.72,5,5,1,Astapor,3/13/2014,iPhone,1/14/2014,0,0,TRUE,100
3.04,4.9,4.8,1.15,King's Landing,6/24/2014,iPhone,1/23/2014,25,1,TRUE,53.6
12.99,4.7,4.8,1.02,Winterfell,6/14/2014,iPhone,1/25/2014,8.3,5,FALSE,16.7
7.65,4.7,5,1,Winterfell,5/6/2014,Android,1/25/2014,0,2,FALSE,33.3
3.62,5,5,1.25,Astapor,1/18/2014,iPhone,1/17/2014,100,1,FALSE,100
11.49,5,,1,Winterfell,2/2/2014,Android,1/22/2014,0,1,TRUE,0
5.68,3.7,,1,Astapor,4/2/2014,iPhone,1/23/2014,0,2,TRUE,100
2.55,4.5,5,1,King's Landing,4/12/2014,Android,1/31/2014,0,0,FALSE,100
6.32,5,5,1,Winterfell,1/29/2014,iPhone,1/1/2014,0,2,FALSE,100
18.56,5,5,1,Winterfell,1/7/2014,iPhone,1/7/2014,0,1,FALSE,100
6.29,4,,1,Winterfell,3/18/2014,iPhone,1/12/2014,0,0,FALSE,100
3.15,5,,1,Winterfell,2/1/2014,Android,1/31/2014,0,1,FALSE,100
7.25,4.5,4.5,1,Winterfell,1/19/2014,Android,1/17/2014,0,2,FALSE,50
3.4,4.7,4.8,1,Astapor,6/3/2014,iPhone,1/25/2014,0,5,TRUE,50
2.79,4.6,3.3,1,Winterfell,6/17/2014,iPhone,1/25/2014,0,3,TRUE,50
16.62,5,5,1,Winterfell,5/18/2014,Android,1/15/2014,0,0,FALSE,0
7.9,5,,2.13,Winterfell,3/2/2014,Android,1/30/2014,100,1,FALSE,50
3.43,4.9,5,1.1,Winterfell,6/8/2014,Android,1/14/2014,11.8,6,TRUE,41.2
13.16,5,5,1,Winterfell,4/19/2014,Android,1/27/2014,0,1,FALSE,50
12.12,5,5,1,King's Landing,1/31/2014,Android,1/3/2014,0,2,FALSE,100
6.07,4.7,5,1.08,King's Landing,6/25/2014,iPhone,1/13/2014,16.7,2,TRUE,83.3
6.68,5,5,1,Winterfell,5/24/2014,Android,1/21/2014,0,1,FALSE,50
3.46,5,,1,King's Landing,5/11/2014,iPhone,1/31/2014,0,0,FALSE,0
9.02,4.9,5,1.07,King's Landing,5/12/2014,iPhone,1/9/2014,14.3,0,FALSE,57.1
2.89,4.9,5,1.25,Astapor,5/11/2014,iPhone,1/11/2014,28.6,0,FALSE,0
4.63,5,5,1,Winterfell,1/19/2014,Android,1/17/2014,0,2,TRUE,50
0.78,5,5,1,Winterfell,1/12/2014,iPhone,1/11/2014,0,1,FALSE,0
3.72,5,4.6,1.11,Astapor,6/7/2014,iPhone,1/25/2014,11.1,1,TRUE,55.6
2.71,4.8,3.7,1,Astapor,6/29/2014,iPhone,1/22/2014,0,1,FALSE,25
2.75,5,5,1,King's Landing,6/28/2014,iPhone,1/23/2014,0,0,FALSE,100
1.55,5,5,1.5,King's Landing,6/15/2014,iPhone,1/6/2014,66.7,0,TRUE,66.7
3.31,4.7,4.6,1,Winterfell,6/14/2014,Android,1/5/2014,0,13,FALSE,69.2
11.93,4.8,4.5,1.19,Astapor,5/2/2014,Android,1/2/2014,25,0,FALSE,50
1.95,5,5,1,Astapor,6/1/2014,iPhone,1/15/2014,0,0,TRUE,50
33.86,5,5,1,Winterfell,1/26/2014,Android,1/26/2014,0,1,TRUE,0
15.72,5,5,1,Astapor,5/21/2014,iPhone,1/26/2014,0,0,TRUE,100
9.13,5,,1,Astapor,3/18/2014,iPhone,1/22/2014,0,0,FALSE,100
2.8,4.7,4.3,1,Winterfell,6/20/2014,iPhone,1/7/2014,0,5,TRUE,88.9
8.29,4.5,,1,Winterfell,6/15/2014,iPhone,1/25/2014,0,1,TRUE,0
4.04,5,4.4,1.01,Winterfell,5/10/2014,iPhone,1/12/2014,5.9,12,TRUE,70.6
2.01,5,4.8,1,King's Landing,6/14/2014,iPhone,1/16/2014,0,3,FALSE,77.8
4.01,4.7,4.5,1.06,Astapor,6/28/2014,iPhone,1/17/2014,25,1,FALSE,50
3.11,5,4.8,1.21,Winterfell,6/28/2014,iPhone,1/26/2014,50,3,FALSE,83.3
4.97,5,5,1,King's Landing,1/21/2014,iPhone,1/17/2014,0,5,TRUE,40
3.12,5,5,1,Astapor,3/27/2014,Android,1/8/2014,0,0,FALSE,100
8.91,4.6,3.8,1.18,Winterfell,6/6/2014,iPhone,1/14/2014,14.3,0,TRUE,100
15,5,,1,King's Landing,3/21/2014,iPhone,1/15/2014,0,0,FALSE,100
2.29,4.6,4.7,1.03,Winterfell,3/30/2014,iPhone,1/6/2014,2.2,20,FALSE,69.6
6.87,4.9,4.3,1.13,King's Landing,5/9/2014,Android,1/24/2014,10,3,FALSE,90
1.53,5,5,1,King's Landing,1/28/2014,iPhone,1/24/2014,0,1,FALSE,100
5.41,4.7,4.6,1.17,Winterfell,6/28/2014,iPhone,1/3/2014,16.7,1,TRUE,41.7
5.66,4.3,4.6,1.02,Winterfell,6/29/2014,iPhone,1/4/2014,10,9,TRUE,60
3.6,5,1,1.06,Astapor,5/18/2014,iPhone,1/17/2014,25,1,TRUE,0
6.15,5,5,1.07,King's Landing,6/29/2014,iPhone,1/23/2014,7.1,0,FALSE,64.3
9.54,5,5,1,Winterfell,5/18/2014,iPhone,1/26/2014,0,0,TRUE,0
4.19,5,5,1,Astapor,2/1/2014,iPhone,1/25/2014,0,1,FALSE,0
4.52,4.6,4.5,1,Winterfell,6/20/2014,Android,1/23/2014,0,6,FALSE,70
8.31,5,4.5,1,King's Landing,6/20/2014,iPhone,1/30/2014,0,0,TRUE,75
5.55,4.7,4.8,1,Astapor,7/1/2014,iPhone,1/24/2014,0,3,TRUE,100
0.84,5,,1,Winterfell,3/10/2014,Android,1/21/2014,0,0,TRUE,100
2.66,5,,1,Winterfell,3/15/2014,iPhone,1/2/2014,0,0,FALSE,0
3.09,5,,1,Winterfell,1/8/2014,Android,1/8/2014,0,1,FALSE,100
7.76,5,5,1,King's Landing,6/6/2014,iPhone,1/18/2014,0,2,FALSE,33.3
5.86,4.8,4.9,1,Winterfell,5/15/2014,Android,1/27/2014,0,0,FALSE,75
2.62,4.8,4.9,1.14,Winterfell,6/18/2014,iPhone,1/5/2014,15.8,4,TRUE,47.4
5.78,4.5,4,1.13,Winterfell,3/15/2014,Android,1/25/2014,50,1,TRUE,0
6.7,5,5,1,Astapor,5/15/2014,iPhone,1/9/2014,0,3,TRUE,100
21.58,5,5,1,Winterfell,5/12/2014,iPhone,1/24/2014,0,0,FALSE,100
6.06,4.9,5,1,King's Landing,6/27/2014,iPhone,1/19/2014,0,1,TRUE,78.6
5.04,4.7,4.4,1,Winterfell,6/23/2014,iPhone,1/22/2014,0,0,FALSE,61.5
3.59,1,5,1,Astapor,1/26/2014,iPhone,1/25/2014,0,1,FALSE,0
2.06,5,4,2,Winterfell,1/19/2014,Android,1/19/2014,100,1,FALSE,0
5.93,5,,1,Astapor,2/9/2014,iPhone,1/30/2014,0,1,FALSE,0
1.45,5,5,1,King's Landing,5/2/2014,Android,1/24/2014,0,1,FALSE,100
1.58,4.7,4.4,1.23,Astapor,6/15/2014,iPhone,1/29/2014,14.3,7,FALSE,28.6
4.74,4.6,3.8,1.03,Winterfell,6/30/2014,iPhone,1/7/2014,2.2,7,FALSE,55.6
13.73,5,,1,Astapor,1/19/2014,iPhone,1/18/2014,0,1,FALSE,0
1.51,3,,1,Winterfell,1/23/2014,iPhone,1/22/2014,0,1,FALSE,100
3.66,5,5,1,King's Landing,6/5/2014,Android,1/9/2014,0,2,FALSE,100
22.89,5,4.8,1,King's Landing,6/25/2014,iPhone,1/3/2014,0,2,TRUE,100
19.75,5,5,1,Winterfell,6/25/2014,Android,1/3/2014,0,0,TRUE,100
2.32,4.5,5,1.19,Astapor,2/28/2014,iPhone,1/10/2014,25,1,FALSE,100
8.72,5,5,1,King's Landing,6/20/2014,Android,1/22/2014,0,0,FALSE,100
9.3,5,5,1,Astapor,6/14/2014,iPhone,1/14/2014,0,1,TRUE,0
1.98,4.9,4.9,1.22,King's Landing,6/2/2014,iPhone,1/30/2014,26.3,5,FALSE,57.9
0.9,5,5,2.75,Winterfell,6/18/2014,iPhone,1/11/2014,50,0,FALSE,100
3.02,4.9,4.5,1.05,King's Landing,6/30/2014,,1/1/2014,3.4,1,TRUE,27.6
8,5,,1,Astapor,6/20/2014,Android,1/13/2014,0,0,FALSE,100
3.6,5,4.8,1.18,King's Landing,6/21/2014,Android,1/11/2014,23.5,9,TRUE,61.8
2.78,4.5,,1,Winterfell,5/28/2014,iPhone,1/16/2014,0,1,FALSE,50
12.98,5,5,1,Winterfell,1/20/2014,Android,1/19/2014,0,2,FALSE,50
2.11,5,,1,Astapor,5/21/2014,iPhone,1/30/2014,0,0,TRUE,100
2.72,4.7,4.7,1,Astapor,4/13/2014,Android,1/25/2014,0,0,TRUE,42.9
1.93,4.6,3.8,1.04,Winterfell,6/30/2014,iPhone,1/24/2014,6.7,17,FALSE,78.7
3.64,5,,1,King's Landing,6/13/2014,iPhone,1/26/2014,0,0,FALSE,100
14.06,5,,1,King's Landing,6/12/2014,iPhone,1/31/2014,0,0,TRUE,100
3.73,4.8,4.8,1.09,Astapor,5/14/2014,Android,1/23/2014,11.1,7,FALSE,80.6
5.53,5,4.7,1.25,Astapor,5/20/2014,iPhone,1/7/2014,25,1,FALSE,75
3.49,4.8,4,1.29,Astapor,6/27/2014,iPhone,1/23/2014,16.7,0,FALSE,100
4.26,5,5,1,King's Landing,6/1/2014,Android,1/19/2014,0,0,TRUE,0
3.14,4.8,4.7,1,Winterfell,3/15/2014,iPhone,1/20/2014,0,2,FALSE,80
3.28,5,,1,Winterfell,1/4/2014,iPhone,1/3/2014,0,1,FALSE,0
3.08,3.9,4.5,1,Winterfell,6/30/2014,iPhone,1/4/2014,0,9,TRUE,64
5.36,5,5,2.5,Winterfell,5/18/2014,iPhone,1/16/2014,100,0,FALSE,0
0.81,5,,1,Winterfell,1/11/2014,Android,1/10/2014,0,1,FALSE,100
3.13,5,,1,Astapor,4/13/2014,Android,1/15/2014,0,0,FALSE,0
1.66,5,5,1,King's Landing,2/26/2014,Android,1/30/2014,0,1,FALSE,100
4.82,4.5,3.8,1.01,Winterfell,6/28/2014,Android,1/20/2014,3.3,18,FALSE,68.1
2.14,4.8,4.6,1,Astapor,4/10/2014,iPhone,1/10/2014,0,0,FALSE,100
13.62,5,4,1,Astapor,5/14/2014,Android,1/2/2014,0,0,TRUE,100
1.21,5,5,1,Astapor,6/27/2014,iPhone,1/18/2014,0,2,FALSE,100
4.9,4.9,4.8,1.16,Astapor,6/29/2014,Android,1/31/2014,10,4,TRUE,25
3.06,4.4,4.5,1.16,King's Landing,6/4/2014,Android,1/31/2014,25,1,FALSE,75
1.56,5,4.5,1,Astapor,1/25/2014,iPhone,1/24/2014,0,2,FALSE,50
18.34,5,3,1,Winterfell,6/19/2014,iPhone,1/24/2014,0,2,TRUE,100
8.46,5,4.3,1,Winterfell,6/29/2014,Android,1/11/2014,0,3,TRUE,50
1.99,5,,1,Winterfell,1/20/2014,iPhone,1/16/2014,0,1,TRUE,0
0.01,1,,1,Astapor,1/27/2014,iPhone,1/26/2014,0,1,FALSE,100
3.5,5,5,1,Winterfell,4/7/2014,iPhone,1/28/2014,0,0,TRUE,100
5.35,5,5,1,Astapor,2/15/2014,iPhone,1/6/2014,0,0,FALSE,100
13.53,5,,1,Winterfell,2/23/2014,iPhone,1/22/2014,0,0,FALSE,0
3.38,5,4,1,Winterfell,1/12/2014,,1/11/2014,0,1,TRUE,0
35.05,5,5,1,Astapor,1/10/2014,Android,1/5/2014,0,1,FALSE,100
5.19,4.2,5,1.46,Astapor,3/21/2014,,1/3/2014,16.7,1,TRUE,33.3
1.44,5,4,1,Winterfell,1/14/2014,iPhone,1/13/2014,0,1,FALSE,100
1.75,5,5,1,King's Landing,1/20/2014,iPhone,1/19/2014,0,1,FALSE,0
2.23,5,,1,Winterfell,1/25/2014,Android,1/24/2014,0,1,TRUE,100
2.57,5,4.7,1,King's Landing,5/24/2014,iPhone,1/25/2014,0,1,FALSE,50
3.02,5,5,1.13,King's Landing,6/28/2014,iPhone,1/1/2014,50,0,TRUE,50
24.86,5,3.5,1,Astapor,2/22/2014,iPhone,1/1/2014,0,0,TRUE,100
1.89,5,5,1,Winterfell,1/8/2014,iPhone,1/7/2014,0,1,TRUE,100
4.11,5,5,1,Astapor,1/18/2014,iPhone,1/17/2014,0,1,FALSE,0
17.16,3.5,5,1,Winterfell,3/30/2014,Android,1/20/2014,0,0,TRUE,50
4.01,4.8,5,1,Astapor,2/20/2014,iPhone,1/17/2014,0,11,FALSE,83.3
13.9,5,5,1,Winterfell,1/22/2014,iPhone,1/1/2014,0,2,FALSE,100
8.1,5,5,1,King's Landing,6/20/2014,iPhone,1/22/2014,0,1,FALSE,100
4.41,4,3.4,1.07,Winterfell,6/27/2014,iPhone,1/3/2014,9.1,2,TRUE,81.8
1.61,5,,1,Astapor,2/10/2014,iPhone,1/28/2014,0,2,FALSE,100
9.83,5,5,1,Astapor,4/9/2014,Android,1/10/2014,0,0,TRUE,100
11.22,5,5,1,Winterfell,6/13/2014,iPhone,1/9/2014,0,1,TRUE,83.3
0.86,5,,1,Astapor,5/5/2014,iPhone,1/18/2014,0,0,FALSE,0
0.61,4.9,4.7,1.3,Astapor,5/25/2014,iPhone,1/18/2014,40,7,FALSE,60
2.23,5,,1,Winterfell,5/4/2014,Android,1/11/2014,0,0,FALSE,0
3.18,4.9,4.9,1.16,Astapor,5/31/2014,iPhone,1/25/2014,23.7,16,TRUE,42.1
2.91,5,4,1,Astapor,6/1/2014,iPhone,1/12/2014,0,0,FALSE,0
2.87,4.7,4.7,1,Winterfell,4/5/2014,iPhone,1/10/2014,0,4,FALSE,83.3
5.29,4.7,4.6,1.07,King's Landing,6/22/2014,iPhone,1/29/2014,14.3,8,TRUE,64.3
7.84,4,5,1,Winterfell,1/27/2014,Android,1/23/2014,0,2,FALSE,100
15.79,5,4.5,1,Astapor,2/26/2014,Android,1/31/2014,0,2,FALSE,100
2.78,2,5,1,Astapor,5/21/2014,iPhone,1/22/2014,0,0,FALSE,100
1.61,4.4,4.9,1,Winterfell,6/30/2014,iPhone,1/20/2014,0,26,FALSE,86.3
14.39,5,,1,King's Landing,6/5/2014,iPhone,1/29/2014,0,0,FALSE,100
1.91,4.7,5,1,King's Landing,1/25/2014,iPhone,1/20/2014,0,12,TRUE,91.7
1.06,5,5,1,Winterfell,2/9/2014,iPhone,1/23/2014,0,2,FALSE,50
2.8,5,5,1,Winterfell,1/19/2014,,1/11/2014,0,2,TRUE,0
3.98,4,3,1,Astapor,5/8/2014,iPhone,1/31/2014,0,0,TRUE,100
8.13,4.5,5,1,Winterfell,6/21/2014,iPhone,1/3/2014,0,1,TRUE,50
4.77,4.9,5,1,Astapor,2/16/2014,iPhone,1/13/2014,0,5,FALSE,71.4
6.75,4.9,4.9,1,Astapor,6/26/2014,iPhone,1/28/2014,0,4,TRUE,73.3
2.42,4.9,4.8,1.19,King's Landing,6/29/2014,iPhone,1/11/2014,50,0,FALSE,37.5
4.21,5,5,1,Astapor,6/30/2014,iPhone,1/18/2014,0,0,FALSE,100
13.46,5,4.4,1.06,King's Landing,6/29/2014,iPhone,1/18/2014,12.5,6,TRUE,45.8
7.66,5,4.8,1,Astapor,6/15/2014,iPhone,1/20/2014,0,2,FALSE,16.7
3.12,4.5,5,1,King's Landing,6/22/2014,iPhone,1/11/2014,0,0,TRUE,0
3.03,4.5,3.5,1,Winterfell,6/21/2014,iPhone,1/2/2014,0,7,FALSE,57.8
2.71,4.5,5,1,Winterfell,1/28/2014,Android,1/7/2014,0,2,FALSE,100
4.94,4.8,4.3,1.18,Astapor,6/9/2014,iPhone,1/18/2014,28.9,9,TRUE,81.6
8.36,5,5,1,Winterfell,6/26/2014,iPhone,1/23/2014,0,1,TRUE,100
4.08,4.9,4.9,1.01,Winterfell,5/17/2014,iPhone,1/17/2014,5.9,7,TRUE,47.1
2.63,5,5,1.88,Winterfell,2/7/2014,iPhone,1/6/2014,50,1,FALSE,100
13.93,4.7,,1,Winterfell,6/7/2014,Android,1/25/2014,0,3,TRUE,66.7
7.09,4.7,4.1,1.01,Winterfell,7/1/2014,iPhone,1/12/2014,2.1,2,FALSE,37.5
2.46,4.6,4.5,1.09,King's Landing,6/14/2014,iPhone,1/18/2014,10.5,3,TRUE,68.4
2.73,5,4.5,1,Astapor,3/14/2014,Android,1/31/2014,0,1,FALSE,50
2.97,5,5,1.13,Winterfell,1/23/2014,iPhone,1/17/2014,50,2,FALSE,100
5.95,5,5,1,Astapor,5/26/2014,iPhone,1/8/2014,0,1,TRUE,100
